"index","Research_Method","Continent","hypothesis","support_for_hypothesis","Number_of_species","type_of_experiment","has_research_problem","Study_date","study","publication","Habitat","Investigated_species","same_as","Measure_of_resistance/susceptibility","Measure_of_invasion_success","Measure_of_species_similarity","Measure_of_species_relationship","WOS_search_or_Cited_references","Specific_traits","Species_name","Phenotypic_plasticity_form","Measure_of_disturbance","Type_of_disturbance","Direct_anthropogenic_dist.?","Measure_of_propagule_pressure","Type_of_interaction","Type_of_effect_description","Ecological_Level_of_evidence","Outcome_of_interaction","Transition_in_the_invasion_process","Observed_proportion_of_species_making_the_transition","Measure_of_native_biodiversity","Sub-hypothesis","Which_species_are_compared?","Indicator_for_enemy_release","Release_of_which_kind_of_enemies?","Title","DOI","Abstract"
"A generic impact-scoring system applied to alien mammals in Europe/Contribution 1","Observational or correlational","Europe","Tens rule","Questioned",34,"Field","Testing the tens rule hypothesis in invasion biology",2010,"A generic impact-scoring system applied to alien mammals in Europe/Contribution 1","A generic impact-scoring system applied to alien mammals in Europe","Terrestrial","Mammals","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Establishment -> Impact/pest species","64,7%",NA,NA,NA,NA,NA,"A generic impact-scoring system applied to alien mammals in Europe","10.1111/j.1523-1739.2009.01289.x","We present a generic scoring system that compares the impact of alien species among members of large taxonomic groups. This scoring can be used to identify the most harmful alien species so that conservation measures to ameliorate their negative effects can be prioritized. For all alien mammals in Europe, we assessed impact reports as completely as possible. Impact was classified as either environmental or economic. We subdivided each of these categories into five subcategories (environmental: impact through competition, predation, hybridization, transmission of disease, and herbivory; economic: impact on agriculture, livestock, forestry, human health, and infrastructure). We assigned all impact reports to one of these 10 categories. All categories had impact scores that ranged from zero (minimal) to five (maximal possible impact at a location). We summed all impact scores for a species to calculate ""potential impact"" scores. We obtained ""actual impact"" scores by multiplying potential impact scores by the percentage of area occupied by the respective species in Europe. Finally, we correlated species' ecological traits with the derived impact scores. Alien mammals from the orders Rodentia, Artiodactyla, and Carnivora caused the highest impact. In particular, the brown rat (Rattus norvegicus), muskrat (Ondathra zibethicus), and sika deer (Cervus nippon) had the highest overall scores. Species with a high potential environmental impact also had a strong potential economic impact. Potential impact also correlated with the distribution of a species in Europe. Ecological flexibility (measured as number of different habitats a species occupies) was strongly related to impact. The scoring system was robust to uncertainty in knowledge of impact and could be adjusted with weight scores to account for specific value systems of particular stakeholder groups (e.g., agronomists or environmentalists). Finally, the scoring system is easily applicable and adaptable to other taxonomic groups."
"A global meta-analysis of the ecological impacts of nonnative crayfish/Contribution 1","Experimental","['Africa', 'Asia', 'Europe', 'North America']","Tens rule","Questioned",4,"Lab/enclosure","Testing the tens rule hypothesis in invasion biology",2013,"A global meta-analysis of the ecological impacts of nonnative crayfish/Contribution 1","A global meta-analysis of the ecological impacts of nonnative crayfish","Freshwater","Crustaceans","['https://sws.geonames.org/6255146/', 'https://www.wikidata.org/entity/Q15', 'https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Establishment -> Impact/pest species","75,0%",NA,NA,NA,NA,NA,"A global meta-analysis of the ecological impacts of nonnative crayfish","10.1899/12-203.1","Nonnative crayfish have been widely introduced and are a major threat to freshwater biodiversity and ecosystem functioning. Despite documentation of the ecological effects of nonnative crayfish from >3 decades of case studies, no comprehensive synthesis has been done to test quantitatively for their general or species-specific effects on recipient ecosystems. We provide the first global meta-analysis of the ecological effects of nonnative crayfish under experimental settings to compare effects among species and across levels of ecological organization. Our meta-analysis revealed strong, but variable, negative ecological impacts of nonnative crayfish with strikingly consistent effects among introduced species. In experimental settings, nonnative crayfish generally affect all levels of freshwater food webs. Nonnative crayfish reduce the abundance of basal resources like aquatic macrophytes, prey on invertebrates like snails and mayflies, and reduce abundances and growth of amphibians and fish, but they do not consistently increase algal biomass. Nonnative crayfish tend to have larger positive effects on growth of algae and larger negative effects on invertebrates and fish than native crayfish, but effect sizes vary considerably. Our study supports the assessment of crayfish as strong interactors in food webs that have significant effects across native taxa via polytrophic, generalist feeding habits. Nonnative crayfish species identity may be less important than extrinsic attributes of the recipient ecosystems in determining effects of nonnative crayfish. We identify some understudied and emerging nonnative crayfish that should be studied further and suggest expanding research to encompass more comparisons of native vs nonnative crayfish and different geographic regions. The consistent and general negative effects of nonnative crayfish warrant efforts to discourage their introduction beyond native ranges."
"A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management/Contribution 1","Experimental","North America","Invasional meltdown","Undecided",3,"Field","Testing the invasional meltdown hypothesis in invasion biology",2012,"A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management/Contribution 1","A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management","Terrestrial","Plants;Inscets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","soybean pest interaction and their outcome to each other with multiple pest interaction","Individual/Population","Survival, Growth and or Reproduction/Abundance and or Density",NA,NA,NA,NA,NA,NA,NA,"A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management","10.1111/j.1570-7458.2012.01227.x","Soybean, Glycine max (L.) Merrill (Fabaceae), is an introduced crop to America and initially benefited from a small number of pests threatening its production. Since its rapid expansion in production beginning in the 1930s, several pests have been introduced from the native range of soybean. Our knowledge of how these pests interact and the implications for management is limited. We examined how three common economic soybean pests, the nematode Heterodera glycines Ichinohe (Nematoda: Heteroderidae), the fungus Cadophora gregata Harrington & McNew (Incertae sedis), and the aphid Aphis glycines Matsumura (Hemiptera: Aphididae), interact on soybean cyst nematode-susceptible (SCN-S) and soybean cyst nematode-resistant cultivars carrying the PI 88788 resistance source (SCN-R). From 2008 to 2010, six soybean cultivars were infested with either a single pest or all three pests in combination in a micro-plot field experiment. Pest performance was measured in a single pest treatment and compared with pest performance in the multiple pest treatment, allowing us to measure the impact of SCN resistance and the presence of other soybean pests on each pests performance. Performance of H. glycines (80% reduction in reproduction) and A. glycines (19.8% reduction in plant exposure) was reduced on SCN-R cultivars. Regardless of cultivar, the presence of multiple pests significantly decreased the performance of A. glycines, but significantly increased H. glycines performance. The presence of multiple pests decreased the performance of C. gregata on SCN-S soybean cultivars (20.6% reduction in disease rating)."
"A null model of exotic plant diversity tested with exotic and native species-area relationships/Contribution 1","Observational or correlational","North-America","Biotic resistence","Questioned",NA,"Field","Testing the biotic resistence hypothesis in invasion biology",2006,"A null model of exotic plant diversity tested with exotic and native species-area relationships/Contribution 1","A null model of exotic plant diversity tested with exotic and native species-area relationships","Terrestrial","Plants","['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Number of exotic species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number of native species",NA,NA,NA,NA,"A null model of exotic plant diversity tested with exotic and native species-area relationships","10.1111/j.1461-0248.2005.00859.x","At large spatial scales, exotic and native plant diversity exhibit a strong positive relationship. This may occur because exotic and native species respond similarly to processes that influence diversity over large geographical areas. To test this hypothesis, we compared exotic and native species-area relationships within six North American ecoregions. We predicted and found that within ecoregions the ratio of exotic to native species richness remains constant with increasing area. Furthermore, we predicted that areas with more native species than predicted by the species-area relationship would have proportionally more exotics as well. We did find that these exotic and native deviations were highly correlated, but areas that were good (or bad) for native plants were even better (or worse) for exotics. Similar processes appear to influence exotic and native plant diversity but the degree of this influence may differ with site quality."
"A null model of temporal trends in biological invasion records/Contribution 1","Observational","North America","Invasional meltdown","Questioned",100,"Field","Testing the invasional meltdown hypothesis in invasion biology",2006,"A null model of temporal trends in biological invasion records/Contribution 1","A null model of temporal trends in biological invasion records","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","null model to identify the expected trend in invasion records over time","Community","Implicit measure",NA,NA,NA,NA,NA,NA,NA,"A null model of temporal trends in biological invasion records","10.1111/j.1461-0248.2006.00913.x","Biological invasions are a growing aspect of global biodiversity change. In many regions, introduced species richness increases supralinearly over time. This does not, however, necessarily indicate increasing introduction rates or invasion success. We develop a simple null model to identify the expected trend in invasion records over time. For constant introduction rates and success, the expected trend is exponentially increasing. Model extensions with varying introduction rate and success can also generate exponential distributions. We then analyse temporal trends in aquatic, marine and terrestrial invasion records. Most data sets support an exponential distribution (15/16) and the null invasion model (12/16). Thus, our model shows that no change in introduction rate or success need be invoked to explain the majority of observed trends. Further, an exponential trend does not necessarily indicate increasing invasion success or 'invasional meltdown', and a saturating trend does not necessarily indicate decreasing success or biotic resistance."
"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 1","Observational or correlational","Africa","Darwin's naturalisation","Supported",83,"Field","Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 1","A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa","Terrestrial","Plants","['https://sws.geonames.org/6255146/', 'https://www.wikidata.org/entity/Q15']",NA,"Invasion Status from Database/ Expert judgement: Invasive",NA,"PNND","WOS search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island, South Africa","10.1111/boj.12030","Invasive plant species are a considerable threat to ecosystems globally and on islands in particular where species diversity can be relatively low. In this study, we examined the phylogenetic basis of invasion success on Robben Island in South Africa. The flora of the island was sampled extensively and the phylogeny of the local community was reconstructed using the two core DNA barcode regions, rbcLa and matK. By analysing the phylogenetic patterns of native and invasive floras at two different scales, we found that invasive alien species are more distantly related to native species, a confirmation of Darwin's naturalization hypothesis. However, this pattern also holds even for randomly generated communities, therefore discounting the explanatory power of Darwin's naturalization hypothesis as the unique driver of invasion success on the island. These findings suggest that the drivers of invasion success on the island may be linked to species traits rather than their evolutionary history alone, or to the combination thereof. This result also has implications for the invasion management programmes currently being implemented to rehabilitate the native diversity on Robben Island.(c) 2013 The Linnean Society of London, Botanical Journal of the Linnean Society, 2013, 172, 142152."
"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 2","Observational or correlational","Africa","Darwin's naturalisation","Supported",83,"Field","Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa/Contribution 2","A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa","Terrestrial","Plants","['https://sws.geonames.org/6255146/', 'https://www.wikidata.org/entity/Q15']",NA,"Invasion Status from Database/ Expert judgement: Invasive",NA,"MPD","WOS search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A phylogenetic approach towards understanding the drivers of plant invasiveness on Robben Island- South Africa",NA,NA
"A reassessment of the role of propagule pressure in influencing fates of passerine introductions to New Zealand/Contribution 1","Observational or correlational","Oceania","Propagule pressure","Questioned",53,"Field","Testing the propagule pressure hypothesis in invasion biology",2011,"A reassessment of the role of propagule pressure in influencing fates of passerine introductions to New Zealand/Contribution 1","A reassessment of the role of propagule pressure in influencing fates of passerine introductions to New Zealand","Terrestrial","Birds",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A reassessment of the role of propagule pressure in influencing fates of passerine introductions to New Zealand","10.1007/s10531-010-9969-8","Several studies have argued that principal factor in determining the fate of bird introductions is introduction effort. In large part, these studies have emerged from analyses of historical records from a single place-New Zealand. Here we raise two concerns about these conclusions. First, we argue that although many bird species were introduced repeatedly to New Zealand, in many cases the introductions apparently occurred only after the species were already successfully naturalized. The inclusion of such seemingly superfluous introductions may exaggerate the importance of propagule pressure. And second, we question the reliability of the records themselves. In many cases these records are equivocal, as inconsistencies appear in separate studies of the same records. Our analysis indicates that species were successful not because they were introduced frequently and in high numbers, but rather it is likely that they were introduced frequently and in high numbers because the initial releases were successful."
"A single ectomycorrhizal fungal species can enable a Pinus invasion/Contribution 1","Observational","South America","Invasional meltdown","Supported",2,"Field","Testing the invasional meltdown hypothesis in invasion biology",2015,"A single ectomycorrhizal fungal species can enable a Pinus invasion/Contribution 1","A single ectomycorrhizal fungal species can enable a Pinus invasion","Terrestrial","Plants;Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A = B","pine invasion depend on ectomycorrhyzal fungal species","Individual","Survival, Growth and or Reproduction",NA,NA,NA,NA,NA,NA,NA,"A single ectomycorrhizal fungal species can enable a Pinus invasion","10.1890/14-1100.1","Like all obligately ectomycorrhizal plants, pines require ectomycorrhizal fungal symbionts to complete their life cycle. Pines introduced into regions far from their native range are typically incompatible with local ectomycorrhizal fungi, and, when they invade, coinvade with fungi from their native range. While the identities and distributions of coinvasive fungal symbionts of pine invasions are poorly known, communities that have been studied are notably depauperate. However, it is not yet clear whether any number of fungal coinvaders is able to support a Pinaceae invasion, or whether very depauperate communities are unable to invade. Here, we ask whether there is evidence for a minimum species richness of fungal symbionts necessary to support a pine/ectomycorrhizal fungus coinvasion. We sampled a Pinus contorta invasion front near Coyhaique, Chile, using molecular barcoding to identify ectomycorrhizal fungi. We report that the site has a total richness of four species, and that many invasive trees appear to be supported by only a single ectomycorrhizal fungus, Suillus luteus. We conclude that a single ectomycorrhizal (ECM) fungus can suffice to enable a pine invasion."
"A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas/Contribution 1","Observational","South America","Invasional meltdown","Supported",3,"Field","Testing the invasional meltdown hypothesis in invasion biology",2016,"A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas/Contribution 1","A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas","Terrestrial/Freshwater","Mammals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","dam construction by beaver provide habitat for muskrat which in turn eats invasive mink. Mink negatively affect native biota","Individual","Resource/ Survival, Growth and or Reproduction/Impact on individual",NA,NA,NA,NA,NA,NA,NA,"A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas","10.1007/s10530-016-1135-0","With ecosystems increasingly having co-occurring invasive species, it is becoming more important to understand invasive species interactions. At the southern end of the Americas, American beavers (Castor canadensis), muskrats (Ondatra zibethicus), and American mink (Neovison vison), were independently introduced. We used generalized linear models to investigate how muskrat presence related to beaver-modified habitats on Navarino Island, Chile. We also investigated the trophic interactions of the mink with muskrats and beavers by studying mink diet. Additionally, we proposed a conceptual species interaction framework involving these invasive species on the new terrestrial community. Our results indicated a positive association between muskrat presence and beaver-modified habitats. Model average coefficients indicated that muskrats preferred beaver-modified freshwater ecosystems, compared to not dammed naturally flowing streams. In addition, mammals and fish represented the main prey items for mink. Although fish were mink's dominant prey in marine coastal habitats, muskrats represented >50 % of the biomass of mink diet in inland environments. We propose that beavers affect river flow and native vegetation, changing forests into wetlands with abundant grasses and rush vegetation. Thus, beavers facilitate the existence of muskrats, which in turn sustain inland mink populations. The latter have major impacts on the native biota, especially on native birds and small rodents. The facilitative interactions among beavers, muskrats, and mink that we explored in this study, together with other non-native species, suggest that an invasive meltdown process may exist; however further research is needed to confirm this hypothesis. Finally, we propose a community-level management to conserve the biological integrity of native ecosystems."
